name,website,linkedin,industry,size,country
LinkedIn,https://linkedin.com,https://linkedin.com/company/linkedin,Social Media,10000+,US
GitHub,https://github.com,https://linkedin.com/company/github,Software Development,1000-5000,US
Canva,https://canva.com,https://linkedin.com/company/canva,Design,500-1000,AU
Stripe,https://stripe.com,https://linkedin.com/company/stripe,Financial Services,1000-5000,US
Shopify,https://shopify.com,https://linkedin.com/company/shopify,E-commerce,5000-10000,CA
Mailchimp,https://mailchimp.com,https://linkedin.com/company/mailchimp,Marketing,500-1000,US
Zendesk,https://zendesk.com,https://linkedin.com/company/zendesk,Customer Service,1000-5000,US
Trello,https://trello.com,https://linkedin.com/company/trello,Productivity,100-500,US
Slack,https://slack.com,https://linkedin.com/company/slack,Collaboration,1000-5000,US
Notion,https://notion.so,https://linkedin.com/company/notion-labs,Productivity,100-500,US 